title,channel_title,genre,duration_minutes,upload_time,language,tags,is_trending
My Creative Vlog #5,Creator_4,Action,73,2026-02-05T23:06:00Z,en,"indie,trending,vlog,short,viral,cinematic,bts,fun,scary",0
My Creative Vlog #10,Creator_58,Horror,2,2026-02-10T22:27:00Z,ja,"fun,scary,cinematic,trending",1
My Creative Vlog #8,Creator_94,Comedy,17,2026-01-21T17:18:00Z,ja,"scary,viral,trending,cinematic,vlog,fun,short,bts,thrill",0
My Creative Vlog #6,Creator_21,Documentary,54,2026-06-21T08:44:00Z,en,"fun,vlog,scary,viral,short,cinematic,bts,thrill,trending",1
My Creative Vlog #1,Creator_30,Documentary,103,2026-03-10T02:13:00Z,ja,"short,indie,bts",0
My Creative Vlog #5,Creator_69,Sci-Fi,119,2026-04-13T11:14:00Z,en,"short,viral,trending,indie,bts,vlog,thrill,fun",0
My Creative Vlog #9,Creator_60,Horror,142,2026-01-03T21:46:00Z,en,"vlog,thrill,cinematic,trending,fun,scary,viral,bts,indie,short",1
My Creative Vlog #9,Creator_82,Action,64,2026-04-06T05:34:00Z,en,"cinematic,short,trending,vlog,fun,bts,viral,indie,thrill",0
Marvel Entertainment Exclusive - Video #26,Marvel Entertainment,Drama,169,2026-05-02T17:10:00Z,es,"bts,indie,scary,thrill,cinematic,viral,fun,vlog",1
Warner Bros. Exclusive - Video #18,Warner Bros.,Documentary,6,2026-05-31T17:14:00Z,hi,,1
Netflix Exclusive - Video #52,Netflix,Comedy,21,2026-03-02T08:42:00Z,fr,"vlog,fun,short",1
My Creative Vlog #2,Creator_13,Sci-Fi,90,2026-04-19T13:29:00Z,en,"viral,trending,indie,cinematic,fun,vlog,bts,thrill,short,scary",0
My Creative Vlog #8,Creator_10,Comedy,6,2026-06-16T17:53:00Z,en,scary,0
T-Series Exclusive - Video #17,T-Series,Drama,98,2026-01-01T12:16:00Z,fr,"indie,vlog,short,viral",1
A24 Exclusive - Video #79,A24,Thriller,140,2026-03-22T01:03:00Z,fr,"vlog,fun,trending,thrill,short,viral,cinematic,bts",0
My Creative Vlog #10,Creator_75,Thriller,124,2026-01-21T13:42:00Z,ja,"scary,cinematic,bts,fun",0
MrBeast Exclusive - Video #19,MrBeast,Thriller,103,2026-06-09T18:06:00Z,en,"scary,vlog,thrill,viral,fun,trending,indie,bts",1
My Creative Vlog #10,Creator_39,Thriller,130,2026-05-22T09:59:00Z,en,"thrill,viral",0
MrBeast Exclusive - Video #36,MrBeast,Horror,130,2026-05-06T08:57:00Z,en,indie,1
My Creative Vlog #8,Creator_21,Sci-Fi,116,2026-01-03T03:04:00Z,en,"trending,cinematic,fun,scary,viral,bts,short,vlog",0
Marvel Entertainment Exclusive - Video #62,Marvel Entertainment,Drama,61,2026-02-11T05:56:00Z,ko,,1
My Creative Vlog #4,Creator_95,Horror,41,2026-06-29T03:24:00Z,en,"scary,bts,short,fun,indie,viral,thrill",0
My Creative Vlog #6,Creator_36,Sci-Fi,131,2026-05-18T10:01:00Z,en,"fun,thrill,trending,short",0
My Creative Vlog #10,Creator_56,Comedy,17,2026-05-28T06:16:00Z,en,"indie,trending,scary,fun,short,vlog,bts,cinematic,viral,thrill",0
T-Series Exclusive - Video #51,T-Series,Sci-Fi,134,2026-03-17T17:08:00Z,hi,"indie,fun,thrill,scary,short,trending",1
My Creative Vlog #6,Creator_78,Romance,114,2026-04-24T21:13:00Z,fr,"fun,viral,thrill,short,cinematic,indie,bts,trending,scary,vlog",0
Warner Bros. Exclusive - Video #70,Warner Bros.,Comedy,19,2026-04-17T20:36:00Z,hi,"indie,short,bts,viral,vlog,trending,thrill,cinematic,scary,fun",1
My Creative Vlog #4,Creator_72,Comedy,19,2026-02-04T14:42:00Z,ja,"short,vlog,indie,bts,thrill,scary,viral,fun,cinematic,trending",0
My Creative Vlog #9,Creator_99,Romance,161,2026-03-03T08:28:00Z,en,"thrill,scary,bts,fun,indie,short,trending,vlog,cinematic,viral",0
T-Series Exclusive - Video #62,T-Series,Documentary,139,2026-04-30T13:03:00Z,hi,"indie,trending,bts,scary,vlog,fun",1
My Creative Vlog #9,Creator_54,Action,107,2026-02-26T08:27:00Z,fr,,0
My Creative Vlog #3,Creator_93,Romance,33,2026-06-09T17:01:00Z,ko,"bts,trending,viral,cinematic,scary,short,indie,vlog,fun",0
My Creative Vlog #7,Creator_44,Horror,108,2026-03-06T02:30:00Z,en,"vlog,trending,cinematic,viral,short,bts,thrill,scary,fun,indie",1
T-Series Exclusive - Video #95,T-Series,Comedy,23,2026-02-25T14:44:00Z,es,"cinematic,fun,viral,indie,short,vlog,trending,thrill,scary,bts",1
My Creative Vlog #4,Creator_92,Comedy,23,2026-06-26T20:15:00Z,en,"thrill,viral,trending,fun,bts,scary,indie,short,vlog,cinematic",1
My Creative Vlog #3,Creator_56,Horror,158,2026-05-18T15:29:00Z,ko,"bts,thrill,cinematic,indie,viral,trending,fun,short,vlog,scary",0
T-Series Exclusive - Video #51,T-Series,Drama,125,2026-02-24T11:51:00Z,es,"thrill,bts,trending,vlog,viral",1
My Creative Vlog #8,Creator_83,Romance,5,2026-01-24T09:14:00Z,ko,"scary,thrill,cinematic,bts,vlog,short,fun,viral,indie,trending",0
Netflix Exclusive - Video #34,Netflix,Documentary,31,2026-05-18T22:11:00Z,hi,"short,thrill,vlog",1
A24 Exclusive - Video #78,A24,Drama,71,2026-01-12T01:35:00Z,es,"fun,short,viral,indie,trending,thrill,bts,vlog,scary,cinematic",1
My Creative Vlog #3,Creator_20,Horror,22,2026-03-05T03:35:00Z,ko,"bts,scary,indie,vlog,short,fun,cinematic,viral,trending",1
My Creative Vlog #4,Creator_27,Horror,170,2026-01-21T05:15:00Z,en,"viral,fun,trending,scary,indie,thrill,cinematic,bts",0
T-Series Exclusive - Video #19,T-Series,Action,78,2026-06-10T18:42:00Z,hi,"viral,vlog,scary,cinematic,bts,fun",1
My Creative Vlog #5,Creator_73,Romance,32,2026-04-30T22:19:00Z,ko,"vlog,bts,short,scary",0
Netflix Exclusive - Video #39,Netflix,Thriller,142,2026-06-22T08:36:00Z,en,"fun,short,vlog,bts,viral,thrill,scary,indie,cinematic,trending",1
Netflix Exclusive - Video #30,Netflix,Documentary,106,2026-06-27T15:18:00Z,ko,"vlog,trending,short,bts,fun,cinematic,thrill,indie,viral,scary",1
My Creative Vlog #9,Creator_25,Documentary,160,2026-05-08T20:28:00Z,en,"thrill,vlog,fun",1
My Creative Vlog #1,Creator_16,Action,135,2026-02-10T09:35:00Z,en,"indie,viral,scary,bts,trending,short,cinematic,fun",1
My Creative Vlog #5,Creator_66,Sci-Fi,106,2026-05-01T07:29:00Z,en,"scary,vlog,fun,indie,trending,short",0
